0	9.3E-6	4.5E-6	1.62E-5
1	9.290259876E-6	4.4951542985E-6	1.620617824E-5
2	9.2796676026E-6	4.4896377295E-6	1.6245240793E-5
3	9.2682507824E-6	4.4834738179E-6	1.6317358696E-5
4	9.256036282E-6	4.4766854262E-6	1.6418755203E-5
5	9.2430502507E-6	4.4692947721E-6	1.6540731087E-5
6	9.229318139E-6	4.4613234458E-6	1.6690509604E-5
7	9.214864717E-6	4.4527924269E-6	1.6861217823E-5
8	9.1997140914E-6	4.4437221007E-6	1.706111295E-5
9	9.1839658655E-6	4.4341322742E-6	1.7277583845E-5
10	9.1677597291E-6	4.4240421915E-6	1.751747322E-5
11	9.1510755264E-6	4.4134705488E-6	1.7781565592E-5
12	9.1339477112E-6	4.4024355095E-6	1.8060044987E-5
13	9.116272647E-6	4.3909547181E-6	1.8358724132E-5
14	9.098144553E-6	4.3790703402E-6	1.8670789139E-5
15	9.0807393706E-6	4.3677954281E-6	1.9002686719E-5
16	9.063136998E-6	4.3566656044E-6	1.9352998352E-5
17	9.0451282261E-6	4.3452236851E-6	1.9723061299E-5
18	9.0267269116E-6	4.3334817256E-6	2.0105362045E-5
19	9.0079716142E-6	4.3214514379E-6	2.0504480446E-5
20	8.9898669399E-6	4.3092959166E-6	2.0915842128E-5
21	8.97276712E-6	4.2971337799E-6	2.1338588223E-5
22	8.9559344903E-6	4.2850867193E-6	2.1777108303E-5
23	8.9392377365E-6	4.2728174884E-6	2.2226589005E-5
24	8.9223376276E-6	4.2603353078E-6	2.2684711514E-5
25	8.905216824E-6	4.2476491316E-6	2.3153933307E-5
26	8.8878828162E-6	4.2347676541E-6	2.3636018036E-5
27	8.8705717991E-6	4.2216993173E-6	2.4126497987E-5
28	8.8531965957E-6	4.2084523178E-6	2.4623723726E-5
29	8.8357948559E-6	4.1950346129E-6	2.5129829545E-5
30	8.8182242726E-6	4.1814539276E-6	2.5637613443E-5
31	8.8004911848E-6	4.167717761E-6	2.6152164747E-5
32	8.7826017682E-6	4.153833392E-6	2.6670967768E-5
33	8.7650402058E-6	4.1398078855E-6	2.7196750386E-5
34	8.7476202313E-6	4.1256480983E-6	2.7725430729E-5
35	8.7304494223E-6	4.111536394E-6	2.8255719863E-5
36	8.713309974E-6	4.0974303727E-6	2.8789138853E-5
37	8.6964594065E-6	4.0834129225E-6	2.9322254161E-5
38	8.6798066921E-6	4.0692907803E-6	2.9857347852E-5
39	8.6630820555E-6	4.055069584E-6	3.0395650892E-5
40	8.6466150472E-6	4.04095499E-6	3.093282193E-5
41	8.6307106796E-6	4.027403917E-6	3.1469727251E-5
42	8.6147723262E-6	4.0139217686E-6	3.2010245907E-5
43	8.5989533781E-6	4.0005882969E-6	3.2554709869E-5
44	8.5830569954E-6	3.9875336513E-6	3.3097626231E-5
45	8.5675117458E-6	3.9747382657E-6	3.3646682557E-5
46	8.5522209171E-6	3.9619809205E-6	3.41967585E-5
47	8.5368618755E-6	3.949190184E-6	3.4751220326E-5
48	8.5216875896E-6	3.9365705609E-6	3.5304416151E-5
49	8.5069018347E-6	3.9239007788E-6	3.5857541141E-5
50	8.4922564846E-6	3.9111840837E-6	3.6408028394E-5
51	8.4779049153E-6	3.8987738152E-6	3.6957691931E-5
52	8.4635992706E-6	3.8866227386E-6	3.7508031643E-5
53	8.4493905006E-6	3.8745583863E-6	3.8057597582E-5
54	8.4352050776E-6	3.8627584423E-6	3.8607208282E-5
55	8.4211450964E-6	3.8511995674E-6	3.9152556431E-5
56	8.4070372124E-6	3.840006789E-6	3.969785109E-5
57	8.3928830342E-6	3.8287810116E-6	4.0238125785E-5
58	8.3786841397E-6	3.8176743625E-6	4.0780066516E-5
59	8.3644420772E-6	3.8068876574E-6	4.1317524191E-5
60	8.3501583656E-6	3.7960722157E-6	4.185464926E-5
61	8.3358344947E-6	3.7852298946E-6	4.2397405013E-5
62	8.3215720902E-6	3.774362501E-6	4.2935604988E-5
63	8.3074236604E-6	3.7634717925E-6	4.3471608557E-5
64	8.2932407524E-6	3.7525594791E-6	4.4010485253E-5
65	8.2790246972E-6	3.7416272242E-6	4.4547773632E-5
66	8.2649270228E-6	3.7306766456E-6	4.5084783855E-5
67	8.2508996377E-6	3.719709317E-6	4.5622963258E-5
68	8.2370689616E-6	3.7087267688E-6	4.6163065612E-5
69	8.2232356697E-6	3.6977304896E-6	4.670275137E-5
70	8.2093758669E-6	3.6867219267E-6	4.724141592E-5
71	8.1954906732E-6	3.6757024876E-6	4.7782307855E-5
72	8.1815811867E-6	3.6646735408E-6	4.8323887032E-5
73	8.1676484836E-6	3.6536364168E-6	4.8862135053E-5
74	8.1536936194E-6	3.6425924091E-6	4.940079947E-5
75	8.1397176285E-6	3.6315427753E-6	4.9941275665E-5
76	8.1257215252E-6	3.6204887375E-6	5.0481140095E-5
77	8.1117063036E-6	3.6094314839E-6	5.1021602618E-5
78	8.0976729384E-6	3.5983721689E-6	5.1564889107E-5
79	8.0836223848E-6	3.5873119146E-6	5.2099193794E-5
80	8.0695555795E-6	3.5762518113E-6	5.2637683799E-5
81	8.0554734403E-6	3.5651929182E-6	5.3175127998E-5
82	8.041376867E-6	3.5541362646E-6	5.3711154693E-5
83	8.0272667417E-6	3.5430828501E-6	5.4246052561E-5
84	8.0131439288E-6	3.5320336459E-6	5.4778609112E-5
85	7.9990092757E-6	3.520989595E-6	5.5304936879E-5
86	7.9848636127E-6	3.5099516133E-6	5.5833252075E-5
87	7.9707077539E-6	3.4989205901E-6	5.6360092416E-5
